                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.05,                  3.224,                 2.0553,                0.02793,                0.09965,                0.01722,                 0.0072,                 2.5383,                 12.586,                 2.7875,             0.00036674,             0.00036674,             0.00036674
                      2,                 1.9177,                 2.6052,                 1.9583,                0.05036,                0.16299,                0.01955,                0.00664,                 2.7125,                 10.918,                 3.0781,             0.00074272,             0.00074272,             0.00074272
                      3,                 1.9137,                 2.5692,                 1.9936,                0.06172,                0.07269,                0.01712,                0.00718,                 2.7877,                 15.562,                 3.2935,              0.0011111,              0.0011111,              0.0011111
                      4,                 2.0703,                 2.6773,                 2.0659,                0.00947,                0.07497,                0.00325,                0.00086,                 3.6683,                 10.128,                 4.9546,              0.0014719,              0.0014719,              0.0014719
                      5,                 2.0425,                 2.5848,                 2.0293,                0.07237,                0.04406,                0.01136,                0.00359,                 3.0023,                  29.18,                 4.3706,               0.001601,               0.001601,               0.001601
                      6,                  1.943,                 2.4299,                  1.981,                 0.0771,                 0.1617,                 0.0416,                0.01341,                 2.7161,                 10.124,                  3.284,               0.001601,               0.001601,               0.001601
                      7,                  2.047,                 2.4708,                 2.0316,                0.01145,                0.13608,                 0.0048,                 0.0016,                 3.2344,                 24.564,                  3.323,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.9874,                 2.5028,                 1.9878,                0.00938,                0.04824,                0.00316,                0.00113,                 3.3619,                 8.9104,                 3.5179,               0.001568,               0.001568,               0.001568
                      9,                 1.9561,                 2.4536,                  1.975,                 0.2259,                0.16331,                0.09765,                0.03482,                  2.348,                 4.6754,                 2.6614,              0.0015515,              0.0015515,              0.0015515
                     10,                 2.0102,                 2.4102,                 2.0281,                0.13545,                 0.1798,                0.06991,                0.02711,                 2.3429,                 3.3696,                 2.6834,               0.001535,               0.001535,               0.001535
                     11,                   1.91,                  2.384,                 1.9753,                0.20862,                0.19868,                0.11014,                0.03997,                  2.449,                 3.6006,                 2.7434,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.9363,                 2.2925,                 1.9595,                0.22588,                 0.1602,                0.10254,                0.04042,                 2.4237,                 4.0392,                 2.5765,               0.001502,               0.001502,               0.001502
                     13,                 1.8871,                 2.3311,                 1.9325,                0.28841,                0.21291,                0.15878,                0.06383,                 2.2669,                 2.6751,                 2.4915,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.8711,                 2.2581,                 1.9056,                 0.2677,                0.16437,                0.12693,                0.05077,                 2.2685,                 2.9173,                 2.5204,               0.001469,               0.001469,               0.001469
